 1772 1  1
cluster file from TAD2; meaning encoded in file name                            
         42.24000000         42.24000000         80.00000000
(3f12.6,i2)                                                                     
   14.070733   -0.018744   11.229159 1
    7.061628   31.637162   11.234671 1
   36.970400   22.855719   11.261227 1
    8.820264    8.779004   11.228074 1
   38.611686   21.044760   11.242857 1
   24.691961   21.096370   11.269386 1
   29.919800   36.960300   11.195330 1
   22.943066   19.375542   11.273483 1
   17.585929   31.662927   11.228865 1
   28.177425    0.023809   11.227982 1
    5.299858   22.893631   11.282779 1
   10.541659   28.122698   11.270969 1
    3.522369   14.078139   11.198458 1
   15.842851    8.800981   11.196397 1
   40.448904   15.879601   11.234079 1
   10.497930   24.683288   11.279725 1
    3.602778   21.122752   11.243852 1
   24.647152   17.631010   11.267513 1
   10.540093    7.058853   11.230201 1
    8.774205   36.980273   11.235565 1
   28.081961   21.124262   11.240085 1
   31.681702   14.070664   11.197896 1
   17.601391   24.638520   11.197769 1
    8.770852   22.904870   11.289260 1
    7.058072   24.633927   11.286644 1
   -0.000937   31.675727   11.199907 1
    7.034772   38.717013   11.259553 1
    5.295716   40.454191   11.233712 1
   15.863724   29.945041   11.231658 1
   40.478260    1.761467   11.195030 1
   38.751809   17.643654   11.232052 1
    8.795638    1.769364   11.200788 1
   38.714893   35.206361   11.198279 1
   12.350838   40.501066   11.231723 1
    7.007710   21.160809   11.272877 1
   35.287290   21.106949   11.239605 1
   31.661403   31.658498   11.228583 1
   29.899968    1.742533   11.226747 1
    8.773802   26.421216   11.284512 1
    8.778091   29.862076   11.265940 1
   26.388650   19.354237   11.278561 1
   17.618687   17.578664   11.228975 1
   29.937551   29.941653   11.228067 1
   19.336341   15.855012   11.231852 1
    0.017653    1.763585    9.572307 1
    0.004219    5.288098    9.571438 1
   -0.003806    8.798397    9.570542 1
   -0.003745   12.309538    9.575209 1
    0.009385   15.839614    9.582748 1
    0.008328   19.365240    9.578092 1
   -0.002014   22.879404    9.579636 1
   -0.002692   26.406851    9.571384 1
   -0.001429   29.899766    9.572423 1
   -0.000245   33.453199    9.573852 1
    0.000815   36.964766    9.570727 1
    0.007194   40.476923    9.571479 1
    1.758862    0.000667    9.573492 1
    1.761022    3.529115    9.571439 1
    1.760607    7.045347    9.569966 1
    1.754792   10.553605    9.572059 1
    1.742848   14.072541    9.575497 1
    1.754067   17.601984    9.576300 1
    1.762085   21.119669    9.596451 1
    1.748256   24.646953    9.574193 1
    1.759131   28.157673    9.571120 1
    1.775484   31.678077    9.572906 1
    1.755824   35.202952    9.571028 1
    1.758199   38.714475    9.570755 1
    3.509868    1.764998    9.572066 1
    3.516043    5.285192    9.569683 1
    3.519577    8.802934    9.570109 1
    3.519719   12.299515    9.573107 1
    3.517498   15.857069    9.573638 1
    3.523181   19.340763    9.578898 1
    3.507436   22.899236    9.574188 1
    3.506031   26.402337    9.569824 1
    3.514302   29.913591    9.572642 1
    3.512488   33.446087    9.574320 1
    3.509876   36.951503    9.570326 1
    3.501354   40.478464    9.578836 1
    5.268005    0.011852    9.580902 1
    5.266081    3.522794    9.571026 1
    5.272077    7.040764    9.570660 1
    5.281440   10.559938    9.573220 1
    5.298471   14.081900    9.572241 1
    5.286678   17.595018    9.574680 1
    5.288926   21.111670    9.535632 1
    5.264756   24.661748    9.567437 1
    5.258736   28.156334    9.569101 1
    5.259204   31.679513    9.582793 1
    5.266709   35.194927    9.573858 1
    5.258721   38.699083    9.562282 1
    7.018433    1.765072    9.573123 1
    7.019364    5.277571    9.571825 1
    7.024675    8.800007    9.577160 1
    7.040424   12.320099    9.573175 1
    7.047899   15.842570    9.571846 1
    7.043576   19.346067    9.584514 1
    7.038522   22.888435    9.531740 1
    7.015393   26.417907    9.561325 1
    7.016273   29.895102    9.557659 1
    7.033683   33.445802    9.587357 1
    7.019678   36.939160    9.563560 1
    7.050920   40.494726    9.563419 1
    8.804500   -0.005130    9.572351 1
    8.789694    3.542602    9.571339 1
    8.779261    7.016676    9.559372 1
    8.800049   10.574924    9.577229 1
    8.800578   14.079670    9.570283 1
    8.807410   17.596277    9.572974 1
    8.810527   21.106377    9.581874 1
    8.792042   24.652638    9.534170 1
    8.790899   28.153040    9.535989 1
    8.821796   31.682967    9.576935 1
    8.803532   35.184112    9.582680 1
    8.812184   38.733959    9.563576 1
   10.572311    1.775367    9.572254 1
   10.566027    5.264989    9.577565 1
   10.581701    8.817587    9.558757 1
   10.561994   12.325227    9.570670 1
   10.561568   15.837165    9.570527 1
   10.567616   19.351577    9.574721 1
   10.570230   22.875125    9.585596 1
   10.570856   26.400599    9.545828 1
   10.581733   29.925064    9.582081 1
   10.571886   33.444180    9.576217 1
   10.570945   36.955221    9.581645 1
   10.557063   40.482749    9.578358 1
   12.310480    0.020758    9.559382 1
   12.328981    3.522792    9.573470 1
   12.336332    7.031393    9.578569 1
   12.322630   10.573359    9.571769 1
   12.318951   14.080562    9.569529 1
   12.322697   17.593997    9.571314 1
   12.320977   21.114025    9.575503 1
   12.328090   24.639297    9.592008 1
   12.336902   28.155657    9.582162 1
   12.326741   31.691958    9.575232 1
   12.325340   35.203408    9.572627 1
   12.324801   38.706323    9.578457 1
   14.091517    1.777626    9.577529 1
   14.086459    5.271418    9.572945 1
   14.063718    8.804460    9.572832 1
   14.074452   12.324620    9.570335 1
   14.078617   15.833475    9.571154 1
   14.074144   19.359690    9.573189 1
   14.075832   22.872423    9.576100 1
   14.079188   26.397143    9.577824 1
   14.068086   29.926299    9.580126 1
   14.077534   33.453408    9.571868 1
   14.087148   36.958657    9.571134 1
   14.108097   40.459821    9.558696 1
   15.864547    0.002900    9.577006 1
   15.853107    3.524605    9.572001 1
   15.843241    7.021555    9.572671 1
   15.839053   10.579964    9.571901 1
   15.832086   14.069872    9.570757 1
   15.823269   17.601169    9.577937 1
   15.830434   21.117478    9.574575 1
   15.822512   24.636875    9.573888 1
   15.833739   28.149938    9.579695 1
   15.824434   31.704509    9.559943 1
   15.842212   35.204268    9.571282 1
   15.854642   38.708707    9.570866 1
   17.610548    1.766134    9.572066 1
   17.611208    5.278677    9.571721 1
   17.621325    8.801310    9.572336 1
   17.600202   12.320010    9.572479 1
   17.579726   15.817567    9.559187 1
   17.598946   19.376651    9.579221 1
   17.599730   22.859799    9.573307 1
   17.603719   26.417735    9.573660 1
   17.622839   29.900696    9.559951 1
   17.607869   33.459278    9.578108 1
   17.609048   36.955162    9.570227 1
   17.607563   40.474445    9.571326 1
   19.362027   -0.000076    9.570758 1
   19.367056    3.521753    9.570397 1
   19.367777    7.037667    9.571617 1
   19.364848   10.565573    9.571872 1
   19.362501   14.059452    9.578511 1
   19.381594   17.616811    9.562426 1
   19.367695   21.122600    9.575544 1
   19.379036   24.641971    9.572414 1
   19.375834   28.156026    9.572455 1
   19.381264   31.683046    9.577868 1
   19.371589   35.203769    9.572340 1
   19.364547   38.717688    9.570520 1
   21.121066    1.760212    9.570520 1
   21.122905    5.280832    9.570283 1
   21.120194    8.802693    9.570640 1
   21.126878   12.313807    9.572576 1
   21.132087   15.826146    9.580955 1
   21.125400   19.371760    9.588168 1
   21.121271   22.883792    9.574289 1
   21.128317   26.402749    9.571187 1
   21.127434   29.917441    9.571144 1
   21.128794   33.444703    9.572282 1
   21.124258   36.961514    9.570473 1
   21.120498   40.480583    9.570722 1
   22.878770    0.001603    9.570653 1
   22.877762    3.522161    9.570193 1
   22.876987    7.043162    9.570420 1
   22.883239   10.557633    9.570742 1
   22.883635   14.067733    9.574264 1
   22.868109   17.587164    9.574294 1
   22.881733   21.143890    9.574526 1
   22.877638   24.643120    9.571408 1
   22.883030   28.160527    9.569956 1
   22.881543   31.679503    9.570336 1
   22.881555   35.202828    9.570301 1
   22.877755   38.720508    9.570425 1
   24.634048    1.766198    9.571291 1
   24.632589    5.285327    9.570003 1
   24.638709    8.798012    9.570364 1
   24.644080   12.314933    9.570847 1
   24.640829   15.822744    9.582111 1
   24.648627   19.358577    9.525349 1
   24.644800   22.900337    9.578540 1
   24.636070   26.399671    9.570072 1
   24.639395   29.919448    9.570251 1
   24.635532   33.440944    9.570017 1
   24.634829   36.961941    9.570044 1
   24.631284   40.478344    9.571984 1
   26.378992    0.000607    9.578062 1
   26.387394    3.532001    9.571109 1
   26.395585    7.039611    9.570175 1
   26.398557   10.553521    9.570325 1
   26.405428   14.073068    9.571729 1
   26.417823   17.577322    9.564555 1
